kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
一;S1;1;5;Ichi;ichi, itsu;one, a;hito, hito(tsu);one, a unit
二;S1;2;5;Ni;ni;two, second;futa, futa(tsu);two
三;S1;3;5;Ichi;san;three;mi, mi(tsu), mit(tsu);three
四;S1;5;5;Kunigamae;shi;four;yo, yo(tsu), yot(tsu), yon;four
五;S1;4;5;Ni;go;five;itsu, itsu(tsu);five
六;S1;4;5;Hachi;roku;six;mu, mu(tsu), mut(tsu), [mui];six
七;S1;2;5;Ichi;shichi;seven;nana, nana(tsu), [nano];seven
八;S1;2;5;Hachi;hachi;eight;ya, ya(tsu), yat(tsu), [yoo];eight
九;S1;2;5;Otsu, Otsunyoo;kyuu, ku;nine;kokono, kokono(tsu);nine
十;S1;2;5;Juu;juu, jiQ;ten;too, to;ten
人;S1;2;5;Hito, Ninben, Hitoyane;jin, nin;man, person, people;hito;man, human being, mankind, person, people
日;S1;4;5;Nichi, Nichihen;nichi, jitsu;day;hi, ka;sun
曜;S1;18;4;Nichi, Nichihen;yoo;day of the week;-;-
月;S1;4;5;Tsuki, Tsukihen;getsu, gatsu;moon;tsuki;moon
私;S1;7;4;Nogi, Nogihen;shi;I;watakushi, watashi;I, myself, private (affairs)
何;S1;7;5;Hito, Ninben, Hitoyane;ka;what;nani, [nan];what
今;S1;4;5;Hito, Ninben, Hitoyane;kon, kin;now, the present;ima;now, present time
円;S1;4;5;Doogamae;en;circle;maru(i);round, circular, spherical
火;S1;4;5;Hi, Hihen, Renga;ka;fire, Tuesday;hi, [ho];fire, flame, blaze
水;S1;4;5;Mizu, Sanzui, Shitamizu;sui;water;mizu;water
木;S1;4;5;Ki, Kihen;boku, moku;tree, Thursday;ki, [ko];tree
金;S1;8;5;Kane, Kanehen;kin, kon;gold;kane, [kana];money, metal
土;S1;3;5;Tsuchi, Tsuchihen;do, to;earth, ground;tsuchi;earth, soil, ground
口;S1;3;4;Kuchi, Kuchihen;koo, ku;mouth;kuchi;mouth, lips
目;S1;5;4;Me, Mehen;moku, [boku];item, division, class;me, [ma];eye
見;S1;7;5;Miru;ken;hopes, chances;mi(ru), mi(eru), mi(seru);see, look at, witness, observe
耳;S1;6;3;Mimi, Mimihen;ji;ear;mimi;ear
大;S1;3;5;Dai;dai, tai;large, huge, grand;oo, oo(kii), oo(ini);large, great, grand, mighty, immense
小;S1;3;5;Shoo;shoo;smallness;chii(sai), ko, o;small, little, diminutive, minute, fine, trivial. short
学;S1;8;5;Ko, Kohen;gaku;learning, study, science, scholarship, erudition;mana(bu);learn, study
生;S1;5;5;Umareru;sei, shoo;birth;i(kiru), i(kasu), i(keru), u(mareru), u(mu), o(u), ha(eru), ha(yasu), ki, nama;grow, spring up
寺;S1;6;2;Sun;ji;temple;tera;temple
時;S1;10;5;Nichi, Nichihen;ji;hour, o'clock, time;toki;time, hour, moment, occasion
校;S1;10;5;Ki, Kihen;koo;school;-;-
言;S1;7;4;Gon, Gonben;gen, gon;word;i(u), koto;say, tell, talk, speak, declare
川;S1;3;5;Magarigawa;sen;river, stream, brook;kawa;river, stream, brook
山;S1;3;5;Yama, Yamahen;san;mount, mountain;yama;mountain, hill, height, knoll
田;S1;5;4;Ta, Tahen;den;rice field, paddy field;ta;rice field, paddy field
本;S1;5;5;Ki, Kihen;hon;book;moto;beginning, origin
分;S1;4;5;Katana, Rittoo;bun, fun, bu;dividing;wa(keru), wa(kareru), wa(karu), wa(katsu);understand, comprehend
半;S1;5;5;Juu;han;half;naka(ba);half, semi-, middle, halfway
前;S1;9;5;Katana, Rittoo;zen;before;mae;front, fore part
後;S1;9;5;Gyooninben;go, koo;back, rear, behind;nochi, ushi(ro), ato, oku(reru);after, since then
午;S1;4;5;Juu;go;11 a.m.-1 p.m.;-;-
先;S1;6;5;Hitoashi;sen;the future;saki;point, tip, end
朝;S1;12;4;Tsuki, Tsukihen;choo;dynasty;asa;morning, forenoon
昼;S1;9;4;Nichi, Nichihen;chuu;daytime, midday;hiru;daytime, midday, noon
晩;S1;12;3;Nichi, Nichihen;ban;evening, night;-;-
間;S1;12;5;Mongamae;kan, ken;interval;aida, ma;space, interval, gap
休;S1;6;5;Hito, Ninben, Hitoyane;kyuu;rest;yasu(mu), yasu(maru), yasu(meru);rest
行;S1;6;5;Gyoogamae;koo, gyoo, [an];party, suite;i(ku), yu(ku), okona(u);go
来;S1;7;5;Ki, Kihen;rai;come. since (last month);ku(ru), kita(ru), kita(su);come, arrive
帰;S1;10;4;Haba, Kinben;ki;return;kae(ru), kae(su);return
食;S1;9;5;Shoku, Shokuhen;shoku, [jiki];food, provisions;ku(u), ku(rau), ta(beru);eat
飲;S1;12;4;Shoku, Shokuhen;in;drinking;no(mu);drink, taste, take
読;S1;14;5;Gon, Gonben;doku, toku, [too];reading;yo(mu);read, peruse
書;S1;10;5;Hirabi;sho;handwriting;ka(ku);write, compose
聞;S1;14;5;Mimi, Mimihen;bun, mon;hear, listen to;ki(ku), ki(koeru);hear, listen to
音;S1;9;4;Oto;on, in;sound;oto, ne;sound, noise, roar
楽;S1;13;4;Ki, Kihen;gaku, raku;music;tano(shii), tano(shimu);enjoy
手;S1;4;4;Te;shu;hand, arm;te, [ta];hand, arm
紙;S1;10;4;Ito, Itohen;shi;paper;kami;paper
新;S1;13;4;Kin, Onozukuri;shin;newness, novelty. new, modern, novel, fresh, neo-;atara(shii), ara(ta), nii;new, novel, fresh, recent, modern
起;S1;10;4;Hashiru, Soonyoo;ki;get up, rise, awake;o(kiru), o(koru), o(kosu);get up, rise, awake
寝;S1;13;3;Ukanmuri;shin;sleeping;ne(ru), ne(kasu);sleep
勉;S1;10;4;Chikara;ben;serve, fill a post, serve under;-;-
強;S1;11;4;Yumi, Yumihen;kyoo, goo;strength, might;tsuyo(i), tsuyo(maru), tsuyo(meru), shi(iru);strong, powerful, mighty, robust, vigorous, healthy
仕;S1;5;4;Hito, Ninben, Hitoyane;shi, [ji];official;tsuka(eru);serve, work for
事;S1;8;4;Haneboo;ji, [zu];thing, matter;koto;thing, matter, fact, circumstances, business, reason, experience
会;S1;6;4;Hito, Ninben, Hitoyane;kai, e;Buddhist ceremony;a(u);meet, interview
社;S1;7;4;Shimesu, Shimesuhen;sha;Shinto shrine;yashiro;Shinto shrine
夜;S1;8;4;Yuube;ya;night;yo, yoru;evening, night, nighttime
犬;S1;4;4;Inu, Kemonohen;ken;dog;inu;dog, spy
猫;S1;11;3;Inu, Kemonohen;byoo;cat;neko;cat
教;S1;11;4;Nobun;kyoo;faith;oshi(eru), oso(waru);teach, give lessons
科;S1;9;3;Nogi, Nogihen;ka;course, branch, department, faculty, school, college;-;-
文;S1;4;4;Bun;bun, mon;1/100 of a hyakume;fumi;letter, note
化;S1;4;3;Hi;ka, ke;influence;ba(keru), ba(kasu); bewitch, enchant, confuse, delude
英;S1;8;4;Kusakanmuri;ei;England, Britain;-;-
語;S1;14;5;Gon, Gonben;go;word, speech, language, term;kata(ru), kata(rau);talk, tell, narrate, recite. chat
計;S1;9;4;Gon, Gonben;kei;plan, scheme, trick;haka(ru), haka(rau);measure, gauge, weigh
誰;S1;15;0;Gon, Gonben;-;-;dare;who
部;S1;11;3;Oozato;bu;department, bureau, section;-;-
屋;S1;9;4;Shikabane;oku;house, roof;ya;shop, store
明;S1;8;4;Nichi, Nichihen;mei, myoo;clearness, shining;a(kari), aka(rui), aka(rumu), aka(ramu), aki(raka), a(keru), a(ku), a(kuru), a(kasu);open
暗;S1;13;3;Nichi, Nichihen;an;dark;kura(i);dark, gloomy, somber
静;S1;14;3;Ao, Aohen;sei, [joo];quiet, peace, inactivity;shizu, shizu(ka), shizu(maru), shizu(meru);get quiet, calm down, grow still
広;S1;5;4;Madare;koo;spread out, extend, reach to;hiro(i), hiro(maru), hiro(meru), hiro(garu), hiro(geru);spread out, extend, reach to. expand, enlarge, widen
狭;S1;9;1;Inu, Kemonohen;kyoo;narrow, contract, reduce;sema(i), saba(meru), seba(maru);narrow, contract, reduce
古;S1;5;4;Kuchi, Kuchihen;ko;old;furu(i), furu(su);old, aged, ancient, antiquated
高;S1;10;5;Takai;koo;high;taka(i), taka, taka(maru), taka(meru);high, tall, lofty, raised, elevated, eminent
安;S1;6;4;Ukanmuri;an;be rested, feel at ease, be relieved, repose;yasu(i);cheap, inexpensive
長;S1;8;5;Nagai;choo;head, chief, headman, commander, director, manager;naga(i);long, lengthy
短;S1;12;2;Ya, Yahen;tan;shortness, brevity;mijika(i);short, brief
元;S1;4;4;Hitoashi;gen, gan;yuan;moto;beginning, origin
気;S1;6;5;Kigamae;ki, ke;spirit, mind, soul, heart;-;-
赤;S1;7;4;Aka;seki, [shaku];red, crimson, scarlet;aka, aka(i), aka(ramu), aka(rameru);red, crimson, scarlet, Communist, Red. become red. blush, redden
青;S1;8;4;Ao, Aohen;sei, [shoo];blue, green;ao, ao(i);blue, green
黒;S1;11;4;Kuro;koku;black;kuro, kuro(i);black
白;S1;5;5;Shiro;haku, byaku;white;shiro, [shira], shiro(i);white, fair (skin)
黄;S1;11;2;Ki, Kiiro;koo, oo;yellow;ki, [ko];yellow. turn yellow. yellow tint
色;S1;6;4;Iro;shoku, shiki;color;iro;color, tint, tinge
車;S1;7;5;Kuruma, Kurumahen;sha;vehicle, a vehicle load;kuruma;wheel
花;S1;7;4;Kusakanmuri;ka;flower;hana;flower, blossom
絵;S1;12;3;Ito, Itohen;kai, e;picture, drawing, painting, sketch, illustration, cut, print;-;-
馬;S1;10;3;Uma, Umahen;ba;horse;uma, [ma];horse
駅;S1;14;4;Uma, Umahen;eki;post town;-;-
皿;S1;5;2;Sara;-;-;sara;dish
箱;S1;15;3;Take, Takekanmuri;-;-;hako;box, case, chest, bin, coffer, railway car 
男;S1;7;5;Ta, Tahen;dan, nan;man, male;otoko;man, male
女;S1;3;5;Onna, Onnahen;jo, nyo, [nyoo];woman, girl, daughter;onna, me;woman, female, sweetheart, girl
子;S1;3;5;Ko, Kohen;shi, su;viscount, master;ko;child, offspring
供;S1;8;3;Hito, Ninben, Hitoyane;kyoo, [ku];offer, present, submit;sona(eru), tomo;offer, sacrifice, dedicte
上;S1;3;5;Ichi;joo, [shoo];top;ue, [uwa], kami, a(geru), a(garu), nobo(ru), nobo(seru), nobo(su);up, upper part, top, summit
下;S1;3;5;Ichi;ka, ge;low class;shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru);come down, go down
中;S1;4;5;Boo;chuu, [jyuu];center, middle;naka;inside, interior, midst, middle, mean, midway 
隣;S1;16;1;Kozatohen;rin;neighboring;tona(ru), tonari;adjoin, nextdoor neighbor, adjoining
左;S1;5;5;E, Takumihen;sa;left;hidari;left
右;S1;5;5;Kuchi, Kuchihen;u, yuu;right, right hand;migi;right, right hand
地;S1;6;4;Tsuchi, Tsuchihen;chi, ji;earth, land, ground, the surface of the earth;-;-
外;S1;5;5;Yuube;gai, ge;outside, without, beside, beyond the scope off;soto, hoka, ha(zusu), hazu(reru);outside, exterior, open air
店;S1;8;4;Madare;ten;shop, store;mise;shop, store, booth
員;S1;10;4;Kuchi, Kuchihen;in;member;-;-
買;S1;12;4;Kai, Kaihen;bai;buying;ka(u);buy, invest in
売;S1;7;4;Samurai;bai;selling;u(ru), u(reru);sell, deal in, betray, deceive, impose on, tell on, pick (a quarrel).
物;S1;8;4;Ushi, Ushihen;butsu, motsu;thing, object, matter;mono;thing, object, matter
果;S1;8;3;Ki, Kihen;ka;fruit, reward;ha(tasu), ha(teru), ha(te);carry out, achieve, complete
公;S1;4;4;Hachi;koo;public, duke, lord;ooyake;public, open
園;S1;13;3;Kunigamae;en;garden, yard, plantation, farm;sono;garden, park
国;S1;8;5;Kunigamae;koku;country;kuni;country, land, realm
友;S1;4;5;Mata;yuu;friend, companion, pal;tomo;friend, companion, pal
達;S1;12;3;Shinnyoo;tatsu;reach, arrive at, attain;-;-
皆;S1;9;3;Shiro;kai;all, everybody, everything;mina;all, everybody, everything
階;S1;12;2;Kozatohen;kai;stair, staircase;-;-
料;S1;10;4;Tomasu;ryoo;charge, rate, fee;-;-
理;S1;11;4;Tama, Oo;ri;reason, justice, truth, principle;-;-
映;S1;9;4;Nichi, Nichihen;ei;reflecting;utsu(ru), utsu(su), ha(eru);shine, be brilliant
画;S1;8;4;Ta, Tahen;ga, kaku;picture, drawing, painting, sketch;-;-
館;S1;16;4;Shoku, Shokuhen;kan;mansion, large building, hall;yakata;mansion
好;S1;6;3;Onna, Onnahen;koo;like, be fond of;kono(mu), su(ku);like, be fond of. Love
作;S1;7;4;Hito, Ninben, Hitoyane;saku, sa;a work, a production;tsuku(ru);a work, a production
酒;S1;10;3;Tori, Torihen;shu;sake, rice wine, alcoholic liquor;sake, [saka];sake, rice wine, alcoholic liquor
紅;S1;9;2;Ito, Itohen;koo, [ku];red, crimson;beni, kurenai;red, crimson
茶;S1;9;4;Kusakanmuri;cha, sa;tea;-;-
和;S1;8;3;Kuchi, Kuchihen;wa, [o];sum;yawa(ragu), yawa(rageru), nago(mu), nago(yaka);soften, be reconciled
洋;S1;9;4;Mizu, Sanzui, Shitamizu;yoo;ocean, sea, channel. foreign, Western, European;-;-
百;S1;6;5;Shiro;hyaku;hundred;-;-
千;S1;3;5;Juu;sen;thousand, many;chi;thousand, many
万;S1;3;5;Ichi;man, ban;ten thousand;-;-
春;S1;9;4;Nichi, Nichihen;shun;spring;haru;spring, springtime
夏;S1;10;4;Suinyoo;ka, [ge];summer;natsu;summer
秋;S1;9;4;Nogi, Nogihen;shuu;autumn;aki;autumn
冬;S1;5;4;Suinyoo;too;winter;fuyu;winter
住;S1;7;4;Hito, Ninben, Hitoyane;juu;dwelling, living;su(mu), su(mau);live, reside, inhabit
所;S1;8;3;To, Tokanmuri;sho;place;tokoro;place, spot, scene, site, seat
名;S1;6;5;Kuchi, Kuchihen;mei, myoo;distinguished, noted, wise, name;na;name
家;S1;10;4;Ukanmuri;ka, ke;house;ie, ya;house, home, residence
週;S1;11;4;Shinnyoo;shuu;week;-;-
年;S1;6;5;Ichijuu;nen;year;toshi;year
去;S1;5;4;Mu;kyo, ko;leave, move away, quit;sa(ru);leave, move away, quit
昨;S1;9;3;Nichi, Nichihen;saku;the past;-;-
夕;S1;3;4;Yuube;seki;evening;yuu;evening
方;S1;4;4;Hoo, Hoohen;hoo;direction, way;kata;direction
病;S1;10;4;Yamaidare;byoo, [hei];get sick, be sick, suffer from ;ya(mu), yamai;get sick, be sick, suffer from. illness
院;S1;10;4;Kozatohen;in;mansion;-;-
貸;S1;12;4;Kai, Kaihen;tai;lend;ka(su);lend
借;S1;10;4;Hito, Ninben, Hitoyane;shaku;borrowing;ka(riru);borrow
毎;S1;6;5;Haha, Hahanokan;mai;each, every, at an interval of, whenever. Apiece;-;-
海;S1;9;4;Mizu, Sanzui, Shitamizu;kai;sea, ocean;umi;sea, ocean
暑;S1;12;1;Nichi, Nichihen;sho;summer heat;atsu(i);hot, warm, sultry
寒;S1;12;3;Ukanmuri;kan;midwinter, coldest season;samu(i);cold, chilly
天;S1;4;5;Dai;ten;sky, air, heavens, celestial sphere, firmament;ame, [ama];sky, heaven. Heavenly
雨;S1;8;5;Ame, Amekanmuri;u;rain, fainfall;ame, [ama];rain, rainfall
電;S1;13;5;Ame, Amekanmuri;den;electricity;-;-
話;S1;13;5;Gon, Gonben;wa;talk, speak, converse;hana(su), hanashi;talk, speak, converse
記;S1;10;3;Gon, Gonben;ki;account, narrative, history, annals;shiru(su);write down
者;S1;8;4;Oikanmuri;sha;person;mono;person, somebody
度;S1;9;4;Madare;do, [to], [taku];degree;tabi;time, occasion
東;S1;8;5;Ki, Kihen;too;east;higashi;east
京;S1;8;4;Nabebuta;kyoo, kei;ten quadrillion;-;-
肉;S1;6;4;Niku, Nikuzuki;niku;flesh, muscles;-;-
魚;S1;11;4;Uo, Uohen;gyo;fish;uo, sakana;fish
漢;S1;13;4;Mizu, Sanzui, Shitamizu;kan;Han (Dynasty);-;-
字;S1;6;4;Ko, Kohen;ji;character, letter, word, handwriting;aza;section of a village
